Source	Target	Weight
12hpf:spinal cord	16hpf:differentiating neurons	0.0397463002114165
12hpf:tailbud mesoderm	16hpf:differentiating neurons	0.000422832980972516
12hpf:telencephalon	16hpf:differentiating neurons	0.0359408033826638
12hpf:anterior neural ridge	16hpf:endothelial	0
12hpf:diencephalon	16hpf:endothelial	0
12hpf:diencephalon (aplnr2+)	16hpf:endothelial	0
12hpf:differentiating neurons	16hpf:endothelial	0
12hpf:endoderm	16hpf:endothelial	0
12hpf:endothelial	16hpf:endothelial	0.669064748201439
12hpf:epidermal	16hpf:endothelial	0
12hpf:epidermal (foxi3a+)	16hpf:endothelial	0
12hpf:epidermal (gbx2+)	16hpf:endothelial	0
12hpf:hatching gland	16hpf:endothelial	0
12hpf:hindbrain	16hpf:endothelial	0
12hpf:mesoderm adaxial cells	16hpf:endothelial	0
12hpf:mesoderm lateral plate	16hpf:endothelial	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:endothelial	0.330935251798561
12hpf:mesoderm lateral plate (tbx1+)	16hpf:endothelial	0
12hpf:midbrain	16hpf:endothelial	0
12hpf:neural anterior	16hpf:endothelial	0
12hpf:neural crest	16hpf:endothelial	0
12hpf:neural plate anterior	16hpf:endothelial	0
12hpf:neural plate posterior	16hpf:endothelial	0
12hpf:notochord	16hpf:endothelial	0
12hpf:periderm	16hpf:endothelial	0
12hpf:spinal cord	16hpf:endothelial	0
12hpf:tailbud mesoderm	16hpf:endothelial	0
12hpf:telencephalon	16hpf:endothelial	0
12hpf:anterior neural ridge	16hpf:epidermal	0.0440268456375839
12hpf:diencephalon	16hpf:epidermal	0
12hpf:diencephalon (aplnr2+)	16hpf:epidermal	0
12hpf:differentiating neurons	16hpf:epidermal	0
12hpf:endoderm	16hpf:epidermal	0
12hpf:endothelial	16hpf:epidermal	0
12hpf:epidermal	16hpf:epidermal	0.90496644295302
12hpf:epidermal (foxi3a+)	16hpf:epidermal	0.0311409395973154
12hpf:epidermal (gbx2+)	16hpf:epidermal	0.0142281879194631
12hpf:hatching gland	16hpf:epidermal	0.00134228187919463
12hpf:hindbrain	16hpf:epidermal	0
12hpf:mesoderm adaxial cells	16hpf:epidermal	0
12hpf:mesoderm lateral plate	16hpf:epidermal	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:epidermal	0
12hpf:mesoderm lateral plate (tbx1+)	16hpf:epidermal	0
12hpf:midbrain	16hpf:epidermal	0
12hpf:neural anterior	16hpf:epidermal	0
12hpf:neural crest	16hpf:epidermal	0
12hpf:neural plate anterior	16hpf:epidermal	0
12hpf:neural plate posterior	16hpf:epidermal	0
12hpf:notochord	16hpf:epidermal	0
12hpf:periderm	16hpf:epidermal	0
12hpf:spinal cord	16hpf:epidermal	0
12hpf:tailbud mesoderm	16hpf:epidermal	0.00429530201342282
12hpf:telencephalon	16hpf:epidermal	0
12hpf:anterior neural ridge	16hpf:epidermal (foxi3a+)	0
12hpf:diencephalon	16hpf:epidermal (foxi3a+)	0
12hpf:diencephalon (aplnr2+)	16hpf:epidermal (foxi3a+)	0
12hpf:differentiating neurons	16hpf:epidermal (foxi3a+)	0
12hpf:endoderm	16hpf:epidermal (foxi3a+)	0
12hpf:endothelial	16hpf:epidermal (foxi3a+)	0
12hpf:epidermal	16hpf:epidermal (foxi3a+)	0.0326530612244898
12hpf:epidermal (foxi3a+)	16hpf:epidermal (foxi3a+)	0.96734693877551
12hpf:epidermal (gbx2+)	16hpf:epidermal (foxi3a+)	0
12hpf:hatching gland	16hpf:epidermal (foxi3a+)	0
12hpf:hindbrain	16hpf:epidermal (foxi3a+)	0
12hpf:mesoderm adaxial cells	16hpf:epidermal (foxi3a+)	0
12hpf:mesoderm lateral plate	16hpf:epidermal (foxi3a+)	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:epidermal (foxi3a+)	0
12hpf:mesoderm lateral plate (tbx1+)	16hpf:epidermal (foxi3a+)	0
12hpf:midbrain	16hpf:epidermal (foxi3a+)	0
12hpf:neural anterior	16hpf:epidermal (foxi3a+)	0
12hpf:neural crest	16hpf:epidermal (foxi3a+)	0
12hpf:neural plate anterior	16hpf:epidermal (foxi3a+)	0
12hpf:neural plate posterior	16hpf:epidermal (foxi3a+)	0
12hpf:notochord	16hpf:epidermal (foxi3a+)	0
12hpf:periderm	16hpf:epidermal (foxi3a+)	0
12hpf:spinal cord	16hpf:epidermal (foxi3a+)	0
12hpf:tailbud mesoderm	16hpf:epidermal (foxi3a+)	0
12hpf:telencephalon	16hpf:epidermal (foxi3a+)	0
12hpf:anterior neural ridge	16hpf:floorplate	0
12hpf:diencephalon	16hpf:floorplate	0
12hpf:diencephalon (aplnr2+)	16hpf:floorplate	0.808510638297872
12hpf:differentiating neurons	16hpf:floorplate	0
12hpf:endoderm	16hpf:floorplate	0
12hpf:endothelial	16hpf:floorplate	0
12hpf:epidermal	16hpf:floorplate	0
